county,year,zhvi,seasonality_score,median_income,median_rent,pct_age_25_34,pct_bachelors_plus,zhvi_next,target_growth,lagged_growth,predicted_zhvi_next,predicted_growth,opportunity_score
Lewis County,2024,172384.74265833336,0.0322658234775734,68182.0,837.0,0.1132408764610816,0.1855437237818651,178238.20351666666,0.03395579427777356,0.06146590629467358,179964.42,0.04396954799932364,0.025506635518475845
Lewis County,2025,178238.20351666666,0.0006929474135343,68182.0,837.0,0.1132408764610816,0.1855437237818651,182569.9541,0.024303154418453782,0.03395579427777356,187726.64,0.053234586755953786,0.02986710239759342
Livingston County,2022,188914.98111666663,0.0691570660288677,70443.0,919.0,0.0998225233946434,0.2946287896872762,200322.7021833333,0.0603854760444949,0.11321561933597812,201717.0,0.06776603320531437,0.03587118014926761
Livingston County,2023,200322.7021833333,0.0344997725936028,72464.0,912.0,0.1003766967591089,0.3059771272387254,214875.26131666664,0.07264558122830718,0.0603854760444949,216079.72,0.0786581670221582,0.03926572783057361
Livingston County,2024,214875.26131666664,0.0298507560104531,74001.0,931.0,0.0984910078376532,0.3055369127516778,225370.382725,0.0488428558225996,0.07264558122830718,228163.14,0.06183996811410832,0.02877947313952225
Livingston County,2025,225370.382725,0.0033210117022144,74001.0,931.0,0.0984910078376532,0.3055369127516778,228069.6311,0.011976943653211322,0.0488428558225996,230999.56,0.02497746024538104,0.011082849460241134
Madison County,2022,190150.61163333332,0.0595661174053843,68869.0,867.0,0.0965598353425463,0.2687766729490262,201625.5993,0.06034683542745503,0.10991747839463718,201909.02,0.061837318800427345,0.0325201787516035
Madison County,2023,201625.5993,0.0287784980790395,73141.0,891.0,0.0965488663943645,0.2801710106556132,219166.905925,0.08699940228770343,0.06034683542745503,216769.39,0.07510847520144233,0.037251457881440915
Madison County,2024,219166.905925,0.0407464565855716,75499.0,928.0,0.0949530655893536,0.2963824008690929,234927.84224166663,0.07191293890903447,0.08699940228770343,231987.98,0.058499153400410904,0.026691599789445217
Madison County,2025,234927.84224166663,0.0123464794432903,75499.0,928.0,0.0949530655893536,0.2963824008690929,240360.8128,0.023126124628278722,0.07191293890903447,248752.02,0.05884433812282096,0.02504783492724064
Monroe County,2022,211035.01228333332,0.0699814411730045,71450.0,1085.0,0.1223787225378963,0.4048664485198995,229151.2926416667,0.08584490394423581,0.1169837282051872,225558.83,0.06882183048454144,0.03261156987170546
Monroe County,2023,229151.2926416667,0.0545410417693447,74409.0,1126.0,0.1217489669366688,0.4117653766117767,249609.2630083333,0.08927713272234335,0.08584490394423581,251893.4,0.09924497194042056,0.04330980235647809
Monroe County,2024,249609.2630083333,0.037437962151107,76382.0,1173.0,0.1210290373636987,0.4146508447960977,262329.4683833333,0.050960470063065415,0.08927713272234335,263783.56,0.05678595145402709,0.02274993755024679
Monroe County,2025,262329.4683833333,0.0080870027732838,76382.0,1173.0,0.1210290373636987,0.4146508447960977,267127.8737,0.018291522283935522,0.050960470063065415,280389.84,0.06884615547756792,0.0262441562138819
Montgomery County,2022,173163.7215083333,0.0683133393729425,58033.0,867.0,0.1240528776398516,0.1977615203007957,179840.0174,0.03855481872018677,0.11356146947246973,180290.28,0.041155039170971665,0.023766548104009834
Montgomery County,2023,179840.0174,0.0111518128835769,62923.0,921.0,0.1213885687713552,0.2051536753535117,193932.5789833333,0.07836165602669308,0.03855481872018677,193081.47,0.07362905954656557,0.040941421498419825
Montgomery County,2024,193932.5789833333,0.0302128730469419,64943.0,940.0,0.123505895654983,0.2292352992624121,198741.95771666663,0.02479923052921726,0.07836165602669308,202245.36,0.04286428012892612,0.02210267112087954
Montgomery County,2025,198741.95771666663,-0.0021424029052658,64943.0,940.0,0.123505895654983,0.2292352992624121,197556.2529,-0.005966051810544289,0.02479923052921726,206017.22,0.03660656822000936,0.018419144422536553
Nassau County,2022,690608.8888083333,0.0357913929489716,137709.0,2131.0,0.1138580149154885,0.4822290333521997,706581.0907833334,0.023127709813525008,0.07206861260395585,706721.75,0.023331384018919765,0.0033783787606873664
Nassau County,2023,706581.0907833334,0.0155489186607569,143408.0,2195.0,0.1142919508002806,0.487138018872195,761278.7380333333,0.07741170541283626,0.023127709813525008,747599.75,0.05805230249112991,0.008215943399613438
Nassau County,2024,761278.7380333333,0.0333831640410729,146202.0,2252.0,0.1142983798830015,0.4967532667242132,797851.0455916667,0.04804062655527893,0.07741170541283626,793246.8,0.0419926012241615,0.0055160612172939485
Nassau County,2025,797851.0455916667,0.0126355857240141,146202.0,2252.0,0.1142983798830015,0.4967532667242132,815539.8609,0.02217057357519118,0.04804062655527893,803139.0,0.006627746416515467,0.0008306997218510247
New York County,2022,1417341.485833333,0.0396988578050457,99880.0,2024.0,0.1433603079714217,0.6275048712952518,1218019.1644166666,-0.14063112059368948,0.04783992334029448,1175152.9,-0.1708752712413107,-0.012056041042278792
New York County,2023,1218019.1644166666,-0.0410962701290492,104553.0,2132.0,0.1411166564687785,0.6400278318158594,1161799.982916667,-0.04615623722712457,-0.14063112059368948,1151385.2,-0.05470678652956902,-0.004491455317599143
New York County,2024,1161799.982916667,-0.0040097942305349,103931.0,2197.0,0.1393661892742272,0.641899555133559,1191881.0259166667,0.025891757137474044,-0.04615623722712457,1175152.9,0.011493279634770728,0.0009892649168333747
New York County,2025,1191881.0259166667,-0.013681058042658,103931.0,2197.0,0.1393661892742272,0.641899555133559,1203576.5,0.009812618733768645,0.025891757137474044,1175152.9,-0.014035084503338938,-0.0011775575076836766
Niagara County,2022,194014.99836666664,0.0672412882025348,65882.0,823.0,0.1155067615322998,0.270287807979445,204080.09184166664,0.05187791438669139,0.1106524424265719,203747.95,0.0501659914969005,0.025856759487270353
Niagara County,2023,204080.09184166664,0.0342129484407703,67809.0,870.0,0.1160588811446903,0.271635151626491,217056.8097083333,0.06358639762243208,0.05187791438669139,215068.22,0.05384222835835639,0.02638289108578475
Niagara County,2024,217056.8097083333,0.0303175204809173,69633.0,899.0,0.1140133161858571,0.2795640362734419,227643.64450833327,0.04877448818226826,0.06358639762243208,228317.39,0.051878496379809125,0.023900884035621843
Niagara County,2025,227643.64450833327,0.0189746171039259,69633.0,899.0,0.1140133161858571,0.2795640362734419,235201.4987,0.03320037424277866,0.04877448818226826,232258.6,0.02027269090527057,0.008905449984802213
Oneida County,2022,177144.59875833333,0.0594787874386354,66402.0,889.0,0.116621583605635,0.2731570948798288,184413.25231666665,0.041032318282814034,0.10791767559719871,184473.08,0.04137004129978824,0.02335382596464409
Oneida County,2023,184413.25231666665,0.0240760090478181,68819.0,917.0,0.1162054475385921,0.2775022160194632,198028.131925,0.07382809769524831,0.041032318282814034,197287.45,0.06981169003096543,0.03785611345929074
Oneida County,2024,198028.131925,0.0287940511399791,70154.0,944.0,0.1151036120179466,0.2784682798639533,211390.1385333333,0.06747529494139722,0.07382809769524831,207767.45,0.04918150318000585,0.02483561436545418
Oneida County,2025,211390.1385333333,0.0251333450005534,70154.0,944.0,0.1151036120179466,0.2784682798639533,220233.938,0.04183638616269776,0.06747529494139722,222364.64,0.05191586593305622,0.024559265769566543
Onondaga County,2022,194734.8323083333,0.06351511881718,71479.0,1002.0,0.1205132056948567,0.3694195465361427,212564.086075,0.09155657236727299,0.10408585283242572,210404.16,0.08046492636128227,0.04132025349932167
